Run;DropRate;Utilization;AverageResponseTime
1;0.10;0.87;6.69s
2;0.09;0.87;6.69s
3;0.10;0.86;6.68s
4;0.11;0.87;6.73s
5;0.10;0.87;6.65s
6;0.10;0.87;6.72s
7;0.10;0.87;6.65s
8;0.10;0.87;6.65s
9;0.10;0.87;6.73s
10;0.10;0.87;6.73s
11;0.10;0.87;6.73s
12;0.10;0.87;6.73s
13;0.10;0.87;6.66s
14;0.10;0.87;6.68s
15;0.11;0.87;6.72s
16;0.10;0.87;6.67s
17;0.10;0.87;6.68s
18;0.10;0.87;6.73s
19;0.10;0.87;6.70s
20;0.10;0.87;6.75s
21;0.09;0.87;6.65s
22;0.10;0.87;6.72s
23;0.11;0.87;6.72s
24;0.10;0.87;6.70s
25;0.10;0.87;6.69s
26;0.09;0.86;6.64s
27;0.11;0.88;6.72s
28;0.11;0.87;6.74s
29;0.10;0.87;6.68s
30;0.10;0.86;6.68s
31;0.10;0.88;6.74s
32;0.10;0.87;6.67s
33;0.10;0.87;6.67s
34;0.09;0.87;6.69s
35;0.11;0.88;6.80s
36;0.10;0.87;6.71s
37;0.10;0.87;6.68s
38;0.10;0.87;6.66s
39;0.10;0.87;6.70s
40;0.10;0.87;6.75s
41;0.10;0.86;6.67s
42;0.09;0.87;6.66s
43;0.10;0.87;6.72s
44;0.11;0.88;6.76s
45;0.10;0.87;6.67s
46;0.10;0.87;6.67s
47;0.11;0.88;6.76s
48;0.10;0.87;6.71s
49;0.09;0.87;6.65s
50;0.09;0.87;6.67s
51;0.10;0.87;6.74s
52;0.10;0.87;6.70s
53;0.10;0.87;6.71s
54;0.10;0.87;6.69s
55;0.11;0.87;6.72s
56;0.10;0.87;6.68s
57;0.10;0.87;6.65s
58;0.09;0.87;6.67s
59;0.09;0.86;6.66s
60;0.11;0.87;6.74s
61;0.10;0.87;6.71s
62;0.10;0.87;6.70s
63;0.10;0.87;6.70s
64;0.11;0.88;6.77s
65;0.10;0.87;6.69s
66;0.11;0.88;6.74s
67;0.10;0.87;6.71s
68;0.11;0.88;6.78s
69;0.10;0.87;6.67s
70;0.10;0.87;6.70s
71;0.10;0.87;6.71s
72;0.11;0.88;6.71s
73;0.10;0.87;6.71s
74;0.10;0.86;6.63s
75;0.10;0.87;6.68s
76;0.10;0.87;6.65s
77;0.10;0.87;6.68s
